Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
smart,forFour,1.0 52kW (71CV) S/S,Sedan,2018,16851,71,Manual,Petrol,4.9,5,28021,Madrid,8690
BMW,325,325xi,Sedan,2007,246258,218,Manual,Petrol,9.2,5,28500,Madrid,8990
Citroen,DS5,HDi 160cv Aut. Style,Sedan,2014,224308,163,Automatic,Diesel,6.1,5,28770,Madrid,8990
Volkswagen,Passat,2.0TDI BMT Advance 4M 110kW,Sedan,2016,260000,150,Manual,Diesel,4.6,5,28007,Madrid,9500
MINI,One D,1.6,Sedan,2012,131938,90,Manual,Diesel,4.4,5,28021,Madrid,10190
Volvo,V40 Cross Country,2.0 D2,Sedan,2017,146891,120,Manual,Diesel,3.8,5,28021,Madrid,11190
Citroen,C5,2.0HDI Millenium Aut. 160,Sedan,2014,102013,163,Automatic,Diesel,6.2,5,28021,Madrid,11190
Renault,Talisman,1.6dCi Energy Intens 96kW,Sedan,2017,117253,131,Manual,Diesel,3.9,5,28021,Madrid,11190
Ford,Focus,2.0 TDCi S/S E6 110kW ST-Line,Sedan,2017,122999,150,Manual,Diesel,4.0,5,28021,Madrid,11590
Hyundai,i40,1.7CRDI Bluedrive Essence,Sedan,2018,92069,116,Manual,Diesel,4.3,5,28021,Madrid,11790
Renault,Talisman,1.6dCi Energy Zen EDC 96kW,Sedan,2016,126366,131,Automatic,Diesel,4.2,5,28021,Madrid,12190
Renault,Megane,Business Energy dCi 81kW (110CV),Sedan,2018,87602,110,Automatic,Diesel,3.7,5,28021,Madrid,12190
Peugeot,508,1.6BlueHDI Active 120,Sedan,2018,76857,120,Manual,Diesel,3.8,5,28021,Madrid,12290
Peugeot,508,1.6 THP S&S Allure EAT6,Sedan,2016,103927,165,Automatic,Petrol,5.8,5,28021,Madrid,12790
Ford,Mondeo,2.0TDCI Trend PowerShift 150,Sedan,2016,108439,150,Automatic,Diesel,4.8,5,28021,Madrid,12790
Audi,A8,L 6.0 quattro Tiptronic,Sedan,2004,212000,450,Automatic,Petrol,11.9,5,28660,Madrid,12900
Audi,A8,3.2 FSI Multitronic,Sedan,2008,140000,260,Automatic,Petrol,9.9,5,28947,Madrid,12990
Opel,Insignia,GS 1.5 Turbo 103kW XFL Selective,Sedan,2018,62129,140,Manual,Petrol,5.9,5,28021,Madrid,13890
Toyota,Avensis,140 Executive,Sedan,2018,89987,147,Manual,Petrol,6.5,5,28922,Madrid,13900
Toyota,Avensis,140 Executive,Sedan,2018,89987,147,Manual,Petrol,6.5,5,28922,Madrid,13900
Mercedes-Benz,C 200,200CDI BE Avantgarde,Sedan,2011,148000,136,Automatic,Diesel,4.9,5,28037,Madrid,13990
Mercedes-Benz,C 220,220CDI BE Avantgarde,Sedan,2013,137660,170,Manual,Diesel,4.4,5,28021,Madrid,13990
Mazda,3,2.2 SKYACTIV-D 110KW ZENITH AUTO,Sedan,2018,112315,150,Automatic,Diesel,4.8,5,28021,Madrid,13990
Renault,Talisman,dCi Blue Limited 88kW,Sedan,2019,62287,120,Manual,Diesel,4.6,5,28021,Madrid,13990
Audi,S4,4.2 V8 quattro,Sedan,2004,130500,344,Manual,Petrol,13.3,5,28804,Madrid,13990
Mercedes-Benz,C 36 AMG,C 36 AMG,Sedan,1995,236330,280,Automatic,Petrol,12.0,5,28222,Madrid,13990
Mercedes-Benz,C 36 AMG,,Sedan,1995,236330,280,Automatic,Petrol,12.0,5,28500,Madrid,13990
Volkswagen,Passat,2.0TDI Advance 110kW,Sedan,2018,186062,150,Manual,Diesel,4.1,5,28983,Madrid,13999
Volkswagen,Passat,1.6TDI Advance 88kW,Sedan,2017,99610,120,Manual,Diesel,4.0,5,28021,Madrid,14190
Ford,Mondeo,2.0TDCI Trend PowerShift 150,Sedan,2015,73492,150,Automatic,Diesel,4.8,5,28021,Madrid,14190
MINI,One,5 PUERTAS,Sedan,2018,28226,102,Manual,Petrol,5.4,5,28021,Madrid,14290
Ford,Mondeo,2.0TDCI Titanium PowerShift 150,Sedan,2018,73385,150,Automatic,Diesel,4.8,5,28021,Madrid,14290
Renault,Talisman,1.6dCi Energy Intens EDC 96kW,Sedan,2016,72808,131,Automatic,Diesel,4.2,5,28021,Madrid,14290
Mazda,6,2.2DE Luxury (Navi) Aut. 110kW,Sedan,2016,145259,150,Automatic,Diesel,4.8,5,28021,Madrid,14290
Volkswagen,Passat,2.0TDI Advance DSG6 110kW,Sedan,2016,147003,150,Automatic,Diesel,4.5,5,28850,Madrid,14500
Jaguar,XJ,XJ6 2.7D V6 Executive Aut.,Sedan,2007,125000,207,Automatic,Diesel,8.1,5,28037,Madrid,14690
Jaguar,XJ,XJ6 2.7D V6 Executive Aut.,Sedan,2007,125000,207,Automatic,Diesel,8.1,5,28037,Madrid,14690
Audi,A8,3.0TDI quattro Tiptronic DPF,Sedan,2006,99800,234,Automatic,Diesel,9.6,5,28003,Madrid,14880
BMW,318,318dA,Sedan,2014,99000,143,Automatic,Diesel,4.3,5,28660,Madrid,14990
BMW,525,ActiveHybrid,Sedan,2012,234000,340,Automatic,Hybrid,6.4,5,28970,Madrid,14990
BMW,525,dA,Sedan,2013,139000,184,Automatic,Diesel,4.5,5,28017,Madrid,14990
Volkswagen,Passat,2.0TDI BMT Sport 4M DSG 140kW,Sedan,2017,176804,190,Automatic,Diesel,5.0,5,28021,Madrid,14990
Volkswagen,Passat,1.4 TSI ACT Advance 110kW,Sedan,2018,66931,150,Manual,Petrol,4.9,5,28021,Madrid,15490
Ford,Mondeo,Vignale Sedán 2.0 HEV,Sedan,2017,129987,188,Automatic,Hybrid,4.2,5,28021,Madrid,15690
Volkswagen,Passat,1.6TDI Edition 88kW,Sedan,2017,30034,120,Manual,Diesel,4.0,5,28021,Madrid,15690
Mercedes-Benz,E 220,CDI BE Edition Avantgarde,Sedan,2012,93000,170,Manual,Diesel,5.0,5,28806,Madrid,15790
Mercedes-Benz,E 250,CDI BE,Sedan,2011,91000,204,Manual,Diesel,5.0,5,28043,Madrid,15800
Mazda,6,6 2.2DE Lux.+Prem.Black+Travel+SR(Navi)Aut. 129kW,Sedan,2017,102368,175,Automatic,Diesel,4.8,5,28045,Madrid,15949
Skoda,Superb,2.0TDI AdBlue Ambition 110kW,Sedan,2018,81350,150,Manual,Diesel,4.0,5,28021,Madrid,15990
Toyota,Avensis,140 Advance MultiDrive,Sedan,2016,65000,147,Automatic,Petrol,6.1,5,28770,Madrid,15990
Audi,A4,2.0 TDI 90kW (122CV),Sedan,2018,149128,122,Automatic,Diesel,3.8,5,28021,Madrid,16290
Audi,A4,2.0TDI 110kW,Sedan,2015,109283,150,Manual,Diesel,3.8,5,28050,Madrid,16599
Renault,Talisman,1.6dCi Energy Twin Turbo Zen EDC 118kW,Sedan,2018,77907,160,Automatic,Diesel,4.4,5,28021,Madrid,16690
Infiniti,Q50,2.2d GT Premium Aut.,Sedan,2017,49126,170,Automatic,Diesel,4.3,5,28021,Madrid,16790
