Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Mercedes-Benz,V 220,220d Largo 7G Tronic,Minivan,2019,20607,163,Automatic,Diesel,5.9,5,43006,Tarragona,36776
Mercedes-Benz,V 220,220d Largo,Minivan,2021,6500,163,Automatic,Diesel,6.0,5,43006,Tarragona,46199
Mercedes-Benz,V,300d Largo Exclusive,Minivan,2021,13450,239,Automatic,Diesel,6.1,5,43006,Tarragona,62990
Citroen,C4,G.Picasso 1.6BlueHDi S&SSeductionEAT6120,Minivan,2015,68495,120,Automatic,Diesel,3.9,5,43500,Tarragona,13600
Mercedes-Benz,V 220,220d Largo,Minivan,2019,20448,163,Automatic,Diesel,6.0,5,43006,Tarragona,36776
Audi,A5,Coupé 3.0TDI S Line quattro Tiptronic 210kW,Coupe,2018,72280,286,Automatic,Diesel,5.3,3,43006,Tarragona,34800
BMW,M4,,Coupe,2019,82444,431,Manual,Petrol,9.9,3,43204,Tarragona,64275
Volkswagen,Scirocco,1.4 TSI 160,Coupe,2009,210000,160,Manual,Petrol,6.6,3,43204,Tarragona,8995
BMW,M4,Cabrio,Convertible,2016,37541,431,Manual,Petrol,9.1,3,43204,Tarragona,62275
Peugeot,206,CC 2.0,Convertible,2002,160000,137,Manual,Petrol,8.0,3,43850,Tarragona,1990
Opel,Tigra,1.4 16v Enjoy,Convertible,2006,80000,90,Manual,Petrol,6.1,3,43850,Tarragona,4300
Suzuki,Grand Vitara,2.0 HDI,Suv,2002,199000,110,Manual,Diesel,6.7,5,43205,Tarragona,6400
BMW,X5,3.0dA,Suv,2007,232000,235,Automatic,Diesel,8.1,5,43205,Tarragona,13300
SEAT,Ibiza,1.6TDI CR Style DPF,Small,2011,250000,90,Manual,Diesel,4.2,5,8304,Barcelona,3800
Citroen,C3,1.4i Furio,Small,2006,129000,75,Manual,Petrol,6.1,5,8830,Barcelona,4400
Renault,Clio,1.5dCi eco2 Energy Business 75,Small,2017,250000,75,Manual,Diesel,3.6,5,8328,Barcelona,4900
Alfa-Romeo,MiTo,1.4 Multi-Air S&S Distinctive 105,Small,2012,170734,105,Manual,Petrol,5.8,5,8172,Barcelona,4990
Opel,Corsa,1.3CDTI Business75,Small,2016,58000,75,Manual,Diesel,3.8,5,8921,Barcelona,5580
Opel,Corsa,1.2 Selective S&S,Small,2013,107000,86,Manual,Petrol,5.1,5,8110,Barcelona,5990
Citroen,C3,1.2 PureTech Feel Edition 82,Small,2015,123719,82,Manual,Petrol,4.6,5,8850,Barcelona,6600
Fiat,Punto,1.2 S&S Pop 51kW E6,Small,2016,59522,69,Manual,Petrol,5.1,5,8903,Barcelona,6663
SEAT,Mii,1.0 Style 75,Small,2017,23204,75,Manual,Petrol,4.4,5,8903,Barcelona,7117
Volvo,C30,D5 Momentum Geartronic,Small,2007,147350,179,Automatic,Diesel,6.9,5,8310,Barcelona,7500
Fiat,500,1.2 Pop,Small,2018,69500,69,Manual,Petrol,5.1,5,8302,Barcelona,7900
Fiat,500,1.2 Pop,Small,2015,63000,69,Manual,Petrol,5.1,5,8013,Barcelona,7900
Toyota,Prius,1.8 HSD Advance,Small,2010,118730,136,Automatic,Hybrid,3.9,5,8830,Barcelona,8400
