Year,Kms,Hp,Fuel_cons,Doors,Category_Convertible,Category_Coupe,Category_Minivan,Category_Sedan,Category_Small,Category_Suv,Category_Van,Category_Wagon,Gear_type_Automatic,Gear_type_Manual,Fuel_type_Compressed Natural Gas \(CNG\),Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Petrol,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2010,178000,241,6.8,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26918.515603799187,24193.61373390558,21731.35961383749,36813.32432432433,15990
2011,53000,69,5.1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11624.755364806866,12585.785714285714,20621.098532494758,36813.32432432433,7250
2019,10115,110,5.0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11424.584479371317,16070.872340425532,15819.39518555667,36813.32432432433,14990
2013,142600,110,5.3,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,10300.24,11487.65,15819.39518555667,36813.32432432433,9000
2008,297000,272,8.1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25450.42774566474,9795.114833534932,15819.39518555667,36813.32432432433,9900
2021,201,110,5.595992204287643,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15357.711086226203,17640.777777777777,25942.62984273111,36813.32432432433,21500
2021,9544,310,7.7,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,38108.71056665724,40451.322288791176,25942.62984273111,36813.32432432433,47500
2019,29000,141,5.595992204287643,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,13832.590163934427,17393.129032258657,22221.02281021898,36813.32432432433,18950
2017,37960,110,3.8,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,16479.117318435754,16371.766666666666,22221.02281021898,36813.32432432433,19499
2020,20500,150,4.6,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,28579.558624031008,30621.787234042553,44498.7,36813.32432432433,34975
2021,1000,120,5.5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,13832.590163934427,21311.400000000624,44498.7,36813.32432432433,20400
2016,45000,84,7.3,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10617.727272727272,14626.133333335656,29281.451690821257,36813.32432432433,16900
2018,49729,116,4.4,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,15357.711086226203,22077.95,27100.51841004184,36813.32432432433,19000
2017,59680,120,4.4,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,12803.411764705883,14896.007367896847,27100.51841004184,36813.32432432433,18900
2017,28820,110,3.8,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,16479.117318435754,16371.766666666666,21731.35961383749,36813.32432432433,18900
2019,67000,131,5.6,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11611.048120300751,12883.180412371134,21731.35961383749,36813.32432432433,16900
2021,10,292,2.1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,28579.558624031008,23821.620689655174,21731.35961383749,36813.32432432433,64790
2020,19119,150,4.7,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,15357.711086226203,22077.95,18663.85356023287,36813.32432432433,32200
2019,18000,159,5.4,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16479.117318435754,16371.766666666666,18370.367424242424,36813.32432432433,23950
2019,70000,116,5.1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15357.711086226203,17640.777777777777,18370.367424242424,36813.32432432433,16500
2021,50,114,5.2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16479.117318435754,13281.047619047618,18370.367424242424,36813.32432432433,23500
2013,61000,116,5.5,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,14757.554945054944,13899.891304347826,20621.098532494758,36813.32432432433,9500
2018,44500,190,6.9,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,15357.711086226203,22077.95,20621.098532494758,36813.32432432433,26900
2021,9000,245,8.1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,105741.27848101266,55545.11237737767,20621.098532494758,36813.32432432433,72900
2017,87740,190,5.3,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,28579.558624031008,23821.620689655174,20621.098532494758,36813.32432432433,32990
2018,24500,140,5.9,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10738.247881355932,16019.820895522387,22819.47254575707,36813.32432432433,16900
2016,82000,140,6.0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26896.167883211678,18481.35,22819.47254575707,36813.32432432433,16000
