Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2016,55902,136,4.9,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13500.676470588236,19901.125,15207.210251954823,22252.94124847001,19907
2019,30500,102,4.0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10412.196983141082,15319.705882352979,15207.210251954823,22252.94124847001,14700
2018,63000,116,5.3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,13240.354497354498,21751.075305015693,15207.210251954823,22252.94124847001,19900
2014,74890,150,5.0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32193.466814159292,27044.358778625956,15207.210251954823,22252.94124847001,22900
2019,31467,90,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,13845
2018,17800,110,5.0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10412.196983141082,15319.705882352979,15207.210251954823,22252.94124847001,14900
2009,140000,140,6.5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13885.174757281553,18200.69444444445,15207.210251954823,22252.94124847001,11000
2013,109687,116,5.3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13341.578947368422,15671.923664122138,15207.210251954823,22252.94124847001,13599
2013,99000,163,6.2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13167.835322195704,17865.6,15207.210251954823,22252.94124847001,14490
2016,83900,333,8.1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,25546.556756756756,29053.6,15207.210251954823,22252.94124847001,45000
2010,146000,141,8.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,15693.285714285714,15460.685950413223,15207.210251954823,22252.94124847001,8699
2014,82657,90,3.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,13199
2016,74905,120,5.4,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,12897
2017,22539,110,6.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10886.36388508892,15098.323943661971,15207.210251954823,22252.94124847001,12990
2009,111000,150,7.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,14007.31593353026,15207.210251954823,22252.94124847001,9900
2016,116912,90,3.6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,13900
2013,46259,90,3.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,11700
2017,83220,110,6.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10886.36388508892,15098.323943661971,15207.210251954823,22252.94124847001,11869
2018,11528,90,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,17290
2015,128722,90,4.9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,10514
2018,29000,110,5.0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10412.196983141082,15319.705882352979,15207.210251954823,22252.94124847001,14975
2017,74000,90,3.6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,13990
2015,79288,90,4.9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,11799
2008,124000,286,10.2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14041.39201183432,21017.271186440677,15207.210251954823,22252.94124847001,42900
2017,22539,110,6.4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10886.36388508892,15098.323943661971,15207.210251954823,22252.94124847001,12990
2017,94498,110,3.9,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,14208
2018,48103,120,4.1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10886.36388508892,15098.323943661971,15207.210251954823,22252.94124847001,15182
2016,48318,150,6.2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,14454.737704918032,18488.89393939394,15207.210251954823,22252.94124847001,18224
2014,57929,110,5.3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16542.651072961373,22341.215384615385,15207.210251954823,22252.94124847001,16899
2005,162000,231,12.9,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,26202.40666450987,25761.68817204301,15207.210251954823,22252.94124847001,10990
